image_name,gpt4o_zero_shot,gpt4o_few_shot,gpt4o_cot,gpt4o_cot_reasoning,gemini_zero_shot,gemini_few_shot,gemini_cot,gemini_cot_reasoning,timestamp
mama_the_storyteller_page_20.png,سعادة,سعادة,سعادة,"١. تعابير الوجه ولغة الجسد تظهر ابتسامة واحتضان دافئ، مع وجود عناصر طبيعية مثل الشمس والقمح والسفن التي تضفي جوًا من الهدوء والراحة.

٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,"الطفلة تحتضن والدتها وعيناها مغمضتان، ووالدتها مبتسمة وعيناها مغمضتان أيضًا.",23/05/2025 19:10
tomorrow_I_will_be_page_19.png,ترقب,ترقب,ترقب,"١. تعابير الوجه ولغة الجسد تظهر ترددًا أو حذرًا، حيث ينظر الطفل إلى الجانب مع رفع يده قليلاً. البيئة المحيطة بالغابة والفراشات تضيف إلى الشعور بالترقب.

٢. الشعور الأساسي الظاهر هو ترقب.",مفاجأة,ترقب,ترقب,"يظهر الطفل في الصورة واقفًا في الغابة، ينظر حوله بعينين مفتوحتين قليلاً، ويده مرفوعة قليلاً بالقرب من وجهه.  يبدو مترددًا بعض الشيء، ووجهه خالٍ من الابتسامة.",23/05/2025 19:12
why_did_the_electricity_escape_page_17.png,سعادة,سعادة,سعادة,"١. تعابير الوجه تظهر ابتسامات واهتمام، ولغة الجسد تشير إلى تفاعل إيجابي بين الشخصيات.

٢. الشعور الأساسي الظاهر هو سعادة.",مفاجأة,ترقب,مفاجأة,"عيون الأطفال مفتوحة على اتساعها، وابتساماتهم عريضة، ويشيرون بأصابعهم إلى شيء ما. يبدو أنهم مندهشون من شيء ما.",23/05/2025 19:14
tomorrow_I_will_be_page_30.png,سعادة,سعادة,سعادة,"١. يظهر الطفل مبتسمًا ومتحمسًا وهو يشير إلى الأمام، مما يدل على الحماس والفرح. الفيل يبدو مستمتعًا أيضًا.

٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,"الطفل يبتسم ويُشير بيده، ويركب على ظهر فيل.  يبدو أنه متحمس للذهاب إلى الطائرة.",23/05/2025 19:15
sun_and_suns_page_12.png,سعادة,سعادة,سعادة,"١. تعابير الوجه للنجم والطفل تظهر الابتسامة، مما يدل على السعادة. لغة الجسد تشير إلى التفاعل الإيجابي بينهما.  
٢. الشعور الأساسي الظاهر هو السعادة.  
٣.",سعادة,سعادة,سعادة,"يبتسم الطفل والنجمة، ويبدو أنهما يستمتعان بوقتهما معًا.  النجمة تشير إلى المدينة، مما يوحي بالتفاعل والمرح.

سعادة",23/05/2025 19:16
kenan_and_watermelon_head_page_41.png,مفاجأة,مفاجأة,مفاجأة,"١. تعابير الوجه ولغة الجسد تظهر دهشة وإعجاب، حيث ينظر الطلاب إلى الشخص الذي يلعب بالكرات الورقية بانبهار، وبعضهم يصفق.

٢. الشعور الأساسي الظاهر هو مفاجأة.",سعادة,ثقة,سعادة,"يبتسم الطفل وهو يلقي كرات الورق، ويصفق له زملاؤه في الفصل.  يبدو أنهم معجبون بمهارته.

سعادة",23/05/2025 19:17
who_defeated_the_evil_of_extravagance_page_17.png,ترقب,ترقب,ترقب,"١. الفتاة التي تتحدث تبدو مترددة أو متسائلة، بينما الشخص الجالس يبدو مستمعًا باهتمام. الأطفال الآخرون يظهرون اهتمامًا أو فضولًا.

٢. الشعور الأساسي الظاهر هو ""ترقب"".",سعادة,سعادة,غضب,"الأطفال ينظرون إلى أخيهم الأكبر، ودانية تتحدث إليه بنبرة استنكارية.  الأم تجلس على الأريكة وتراقب الموقف.",23/05/2025 19:19
mama_the_storyteller_page_19.png,مفاجأة,ترقب,ترقب,"١. الصورة تحتوي على عناصر خيالية مثل السحب والنجوم، مع تعابير وجه هادئة ومريحة، مما يدل على جو من الهدوء والخيال.

٢. الشعور الأساسي الظاهر هو ""ترقب"".",سعادة,سعادة,سعادة,"تظهر تعابير وجوه الأطفال في الصورة مشاعر إيجابية، حيث يبتسمون ويبدون مستمتعين.  كما أن العناصر السياقية مثل الألوان الزاهية والنجوم المتلألئة والحيوانات اللطيفة تعزز هذه المشاعر.

سعادة",23/05/2025 19:20
why_did_the_electricity_escape_page_12.png,سعادة,سعادة,سعادة,"١. الشخصيات في الصورة تبتسم وتبدو سعيدة، مما يدل على جو إيجابي ومريح.  
٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,"عيون الطفلان مفتوحة على اتساعها، وفمهما مفتوحان في ابتسامة عريضة. يرفع الطفل على اليمين يده في إشارة تحية.

سعادة",23/05/2025 19:22
who_defeated_the_evil_of_extravagance_page_5.png,سعادة,سعادة,سعادة,"١. تعابير الوجه تظهر ابتسامة ولغة الجسد تشير إلى حركة ترحيبية، مما يدل على شعور إيجابي.  
٢. الشعور الأساسي الظاهر هو سعادة.  
٣.",سعادة,ثقة,سعادة,"يبتسم الطفل ابتسامة عريضة، ويشير بيده إلى مبنى ملون، مما يدل على شعور إيجابي.  يبدو متحمسًا لعرض شيء ما.",23/05/2025 19:23
who_defeated_the_evil_of_extravagance_page_16.png,ترقب,ترقب,ترقب,"١. تعابير الوجه ولغة الجسد تظهر توترًا وقلقًا، حيث يبدو أن الشخصيات تتابع الموقف بترقب واهتمام.  
٢. الشعور الأساسي الظاهر هو ترقب.",مفاجأة,خوف,ترقب,"الأطفال ينظرون إلى الأب بانتباه، والأب يشير بيده إلى شيء ما. تعابير وجوههم تدل على الانتباه والتركيز.",23/05/2025 19:25
kenan_and_watermelon_head_page_46.png,سعادة,سعادة,سعادة,"١. الفتاة الصغيرة تبتسم وتركض بفرح، وهناك زينة وعبارات ترحيب، مما يدل على جو احتفالي وسعيد.

٢. الشعور الأساسي الظاهر هو سعادة.",سعادة,سعادة,سعادة,"الفتاة تبتسم وتقفز بسعادة، وذراعيها مفتوحتان، في حفلة مليئة بالبالونات الملونة.  يبدو أن العائلة سعيدة أيضًا لاستقبالها.",23/05/2025 19:26
who_defeated_the_evil_of_extravagance_page_14.png,مفاجأة,مفاجأة,مفاجأة,"١. يظهر الطفل بتعابير وجه متفاجئة، حيث ينظر إلى الأعلى مع فتح فمه قليلاً، وهناك ضوء ساطع من المصابيح رغم أن الوقت نهار.

٢. الشعور الأساسي الظاهر هو مفاجأة.",خوف,خوف,مفاجأة,ينظر الطفل إلى الأعلى نحو المصباح بعينين مفتوحتين قليلاً وفم مفتوح قليلاً.  يبدو أنه لاحظ شيئًا ما.,23/05/2025 19:27
who_defeated_the_evil_of_extravagance_page_7.png,سعادة,سعادة,سعادة,"١. تعابير الوجه ولغة الجسد تظهر الفرح والمرح، حيث يبتسم الجميع ويرفعون أيديهم في الهواء، مما يدل على جو من السعادة والاحتفال.

٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,"الأب والأم والأطفال يبتسمون ويرفعون أيديهم، ويبدو أنهم يرقصون. تعابير وجوههم تدل على الفرح والمرح.

سعادة",23/05/2025 19:29
who_defeated_the_evil_of_extravagance_page_6.png,سعادة,سعادة,سعادة,"١. تعابير الوجه ولغة الجسد في الصورة تظهر الابتسامات والضحك، مع حركة نشطة ورفع الأيدي، مما يدل على جو من المرح والبهجة.  
٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,"الأب والأم والأطفال يبتسمون ويضحكون.  الأب يصافح ابنه، والأم تراقبهم بسعادة، والابنة الصغيرة تركض.",23/05/2025 19:30
sun_and_suns_page_14.png,غضب,غضب,غضب,"١. يظهر الشخص جالسًا على الشرفة ممسكًا بورقة، ويبدو على وجهه تعبير الغضب الشديد.

٢. الشعور الأساسي الظاهر هو الغضب.",غضب,ثقة,غضب,"الرجل يمسك بورقة ويبدو على وجهه الغضب الشديد.

غضب",23/05/2025 19:31
kenan_and_watermelon_head_page_34.png,غضب,غضب,غضب,"١. تعابير الوجه الغاضبة ولون الوجه المحمر تدل على الغضب، بالإضافة إلى الكلمات المستخدمة في النص مثل ""مخمّر من شدة الإحراج والغضب"".

٢. الشعور الأساسي الظاهر هو الغضب.",غضب,غضب,غضب,"حاجبا المانجو معقودان، وعيناها مفتوحتان، وفمها معقود إلى الأسفل.  الفوضى من حولها تشير إلى أنها غاضبة من شيء ما.

غضب",23/05/2025 19:32
open_tap_page_9.png,خوف,خوف,خوف,"١. تعابير الوجه تظهر توترًا وقلقًا، حيث يبدو الطفل مرتجفًا ويحاول فتح الصنبور دون جدوى، مما يشير إلى شعوره بالبرد وعدم الراحة.

٢. الشعور الأساسي الظاهر هو ""خوف"".",خوف,سعادة,خوف,"يظهر الطفل في حوض الاستحمام وهو يرتجف من البرد، ويحاول فتح صنبور الماء الساخن دون جدوى. عيناه مفتوحتان على اتساعهما، وفمه مفتوح في تعبير يشير إلى الخوف والقلق.",23/05/2025 19:33
tomorrow_I_will_be_page_44.png,سعادة,سعادة,سعادة,"١. تعابير الوجه تظهر ابتسامة ولغة الجسد توحي بالراحة والاستمتاع، مع وجود عناصر طبيعية محيطة بالشخصية.

٢. الشعور الأساسي الظاهر هو سعادة.",سعادة,سعادة,سعادة,"يظهر الطفل وهو يبتسم ويمسك رأسه بيده، ويبدو أنه يستمتع بوقته في الغابة.  يبدو أنه يركب حيوانًا كبيرًا.",23/05/2025 19:34
tomorrow_I_will_be_page_9.png,مفاجأة,ثقة,ترقب,"١( يبدو أن الطفل مستيقظ في السرير، يرفع يديه للأعلى، مما قد يدل على الاستعداد أو النشاط. البيئة المحيطة مليئة بالألوان الزاهية والنباتات.

٢( الشعور الأساسي الظاهر هو ترقب.",مفاجأة,مفاجأة,مفاجأة,"يرفع الطفل يديه لأعلى ووجهه يبدو متفاجئًا. يبدو أنه مستيقظًا في سريره في الغابة.

مفاجأة",23/05/2025 19:35
kenan_and_watermelon_head_page_35.png,سعادة,خوف,سعادة,"١. تعابير الوجه ولغة الجسد تظهر ضحك الأطفال، مما يدل على جو من المرح والضحك في الصف.

٢. الشعور الأساسي الظاهر هو سعادة.",سعادة,سعادة,سعادة,"يبتسم الطفل في المقدمة ويبدو مسترخيًا، بينما يضحك الأطفال الآخرون في الخلفية.  يبدو أنهم يستمتعون بوقتهم في الفصل.

سعادة",23/05/2025 19:37
kenan_and_watermelon_head_page_37.png,سعادة,سعادة,سعادة,"١. يظهر الطفل مبتسمًا ويقفز بحماس، مما يدل على شعوره بالفرح والاستعداد.

٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,"يبتسم الطفل ابتسامة عريضة، وعيناه مغمضتان جزئيًا، وهو يركض باتجاه حقيبة السفر. يداه مرفوعتان قليلاً، مما يدل على الحماس.",23/05/2025 19:38
why_did_the_electricity_escape_page_8.png,ثقة,ثقة,ثقة,"١. يظهر في الصورة طفل يركض نحو شخص يبدو أنه والدته، مبتسمًا وذراعيه مفتوحتين، مما يدل على شعور بالثقة والاطمئنان.

٢. الشعور الأساسي الظاهر هو ثقة.",سعادة,سعادة,سعادة,الأطفال يبتسمون والأم تبتسم.  الأطفال يركضون نحو الأم والأم تمد يديها لهم.,23/05/2025 19:39
tomorrow_I_will_be_page_47.png,ثقة,ترقب,ثقة,"١. تعابير الوجه تظهر ابتسامة ولغة الجسد توحي بالحماس أو النشاط، مع وجود جرس في الخلفية يشير إلى سياق عمل أو طوارئ.

٢. الشعور الأساسي الظاهر هو ""ثقة"".",سعادة,ترقب,ترقب,"الطفل يرتدي زي رجل إطفاء وينزلق على عمود، عيناه مفتوحتان وفمه مفتوح قليلاً، وهناك خطوط حركة حوله. يبدو أنه متحمس ومركز على النزول بسرعة.",23/05/2025 19:41
kenan_and_watermelon_head_page_28 (1).png,حزن,حزن,غضب,"١. تعابير وجه كنان تظهر الانزعاج، ولغة جسده تدل على التوتر، حيث يحمل كتبه بإحكام. الفوضى في الصف تشير إلى موقف غير مريح.

٢. الشعور الأساسي الظاهر هو الغضب.",غضب,غضب,غضب,"حاجبا الصبي معقودان، وفمه متجه للأسفل قليلاً.  يبدو أنه ينظر إلى زملائه في الفصل الذين يزعجونه.

غضب",23/05/2025 19:42
open_tap_page_20.png,مفاجأة,مفاجأة,مفاجأة,"١. تعابير الوجه تظهر انزعاجًا مع عين مغمضة وابتسامة متوترة، وقطرة الماء الباردة تسقط على رأسه، مما يشير إلى شعور بالمفاجأة.

٢. الشعور الأساسي الظاهر هو مفاجأة.",خوف,سعادة,سعادة,"يظهر الطفل وهو يغلق إحدى عينيه ويبتسم ابتسامة عريضة، ويبدو أنه يتذكر شيئًا ما.  يظهر في فقاعة التفكير صورة له وهو يغسل أسنانه.",23/05/2025 19:43
kenan_and_watermelon_head_page_32.png,مفاجأة,مفاجأة,مفاجأة,"١. تعابير الوجه ولغة الجسد تظهر الدهشة والخوف، حيث يفتح الشخص فمه وعيناه متسعتان، وهناك فوضى في المكان مع تطاير الأوراق والأشياء.

٢. الشعور الأساسي الظاهر هو مفاجأة.",مفاجأة,مفاجأة,مفاجأة,"فم الطفل مفتوح وعيناه مفتوحتان على مصراعيهما، ويداه على وجهه. الأدوات المدرسية تتطاير حوله.",23/05/2025 19:45
sun_and_suns_page_8.png,سعادة,سعادة,سعادة,"١. تعابير الوجه تظهر ابتسامة عريضة وعينين مفتوحتين، مما يدل على الفرح. النص يشير إلى فهم خالد لشيء ما، مما يعزز الشعور بالرضا.

٢. الشعور الأساسي الظاهر هو سعادة.",سعادة,سعادة,سعادة,"يظهر الطفل ابتسامة عريضة وفمه مفتوح، مما يدل على شعور إيجابي.  يبدو الطفل سعيدًا بفهمه للموقف.",23/05/2025 19:46
tomorrow_I_will_be_page_43.png,سعادة,سعادة,سعادة,"١. تعابير الوجه ولغة الجسد تظهر ابتسامة واهتمامًا، حيث تجلس الأم والطفلة معًا بارتياح أثناء قراءة القصة.

٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,"تظهر الأم والطفلة ابتسامات خفيفة، وتتشاركان لحظة هادئة لقراءة قصة قبل النوم.  يبدو أنهما مستمتعتان بوقتهما معًا.",23/05/2025 19:47
sun_and_suns_page_9.png,ثقة,ثقة,ثقة,"١. الصورة تحتوي على شمس مشرقة ومباني مضيئة، مما يوحي بجو إيجابي ومشرق. النص يتحدث عن استخدام الشمس في النهار ونسيان شكر الله، مما يعكس نوعًا من التأمل أو الوعي.

٢. الشعور الأساسي الظاهر هو ""ثقة""، حيث أن النص يعبر عن الاعتماد على الشمس في النهار.",سعادة,سعادة,محايد,"الصورة لا تُظهر أي تعابير وجه أو لغة جسد. السياق العام للصورة يدل على مشهد هادئ في مدينة مضاءة بنوافذ مضيئة وشمس ساطعة.

محايد",23/05/2025 19:48
open_tap_page_21.png,مفاجأة,خوف,مفاجأة,"١. تعابير الوجه تظهر اتساع العينين والفم المفتوح، مما يدل على الدهشة أو المفاجأة. اليد ممدودة نحو الصنبور، مما يشير إلى محاولة إيقاف الماء.

٢. الشعور الأساسي الظاهر هو مفاجأة.",حزن,خوف,حزن,"عيون الطفل مفتوحة على اتساعها، وخدوده حمراء، وهو ينظر إلى قطرة الماء المتساقطة.",23/05/2025 19:49
tomorrow_I_will_be_page_40.png,سعادة,سعادة,سعادة,"١. تعابير الوجه تظهر ابتسامة ولغة الجسد توحي بالراحة والاسترخاء، مع وجود كتاب مفتوح وألوان زاهية في الخلفية.

٢. الشعور الأساسي الظاهر هو سعادة.",سعادة,سعادة,سعادة,يبتسم الطفل ويبدو مستمتعًا وهو يمحو ما رسمه في كتابه.  يبدو أنه سعيد بالنتيجة.,23/05/2025 19:50
kenan_and_watermelon_head_page_30.png,مفاجأة,ترقب,ترقب,"١. الشخص يبدو مستغرقًا في التفكير، وهناك ورقة بها رسم وجه مبتسم، مما قد يشير إلى حالة من التفكير أو التخطيط.

٢. الشعور الأساسي الظاهر هو ""ترقب"".",حزن,خوف,خوف,"يختبئ الطفل تحت الطاولة، ووجهه غير مرئي، وأدواته مبعثرة على الأرض.  يبدو أنه يحاول الاختباء.

خوف",23/05/2025 19:51
open_tap_page_13.png,مفاجأة,مفاجأة,مفاجأة,"1. تعابير الوجه ولغة الجسد: الشخصية المائية تبدو غاضبة أو جادة، بينما الطفل يبدو متفاجئًا. السياق يشير إلى حوار حول إعادة استخدام المياه.
2. الشعور الأساسي الظاهر: مفاجأة.",غضب,خوف,خوف,"حاجبا قطرة الماء معقودان، وفمها مفتوح، وعيناها مفتوحتان على اتساعهما. الطفل في الماء يبدو خائفًا، عيناه مفتوحتان على اتساعهما، وخدوده حمراء.

خوف",23/05/2025 19:52
sun_and_suns_page_7.png,مفاجأة,محايد,مفاجأة,"١. تعابير الوجه ولغة الجسد في الصورة تظهر طفلة تنظر من النافذة، مع وجود الشمس المشرقة في الخارج، مما يوحي بالدهشة أو المفاجأة.  
٢. الشعور الأساسي الظاهر هو مفاجأة.",سعادة,سعادة,سعادة,"الفتاة تبدو مبتسمة وعيناها مفتوحتان على اتساعهما، مما يدل على شعور إيجابي. السياق العام للصورة مشرق وملون، مما يعزز هذا الشعور.",23/05/2025 19:53
sun_and_suns_page_6.png,مفاجأة,مفاجأة,مفاجأة,"١. تعابير الوجه ولغة الجسد تدل على الدهشة، حيث يظهر الطفل وهو ينظر إلى الشمس الصناعية باندهاش، مع فتح الفم واتساع العينين.

٢. الشعور الأساسي الظاهر هو مفاجأة.",مفاجأة,مفاجأة,مفاجأة,"ينظر الطفل إلى الشمس الكبيرة بدهشة، وعيناه مفتوحتان على اتساعهما.  يبدو أنه مندهش من وجود شموس صناعية.

مفاجأة",23/05/2025 19:55
open_tap_page_12.png,قرف,قرف,قرف,"١. تعابير الوجه ولغة الجسد تظهر أن الشخص يغلق أنفه ويبدو غير مرتاح، مع وجود كائنات غاضبة حوله، مما يشير إلى شعور بالانزعاج من الرائحة.

٢. الشعور الأساسي الظاهر هو القرف.",قرف,قرف,قرف,"يظهر الطفل وهو يغلق أنفه بيده، وعيناه مغمضتان جزئيًا، وفمه مفتوح قليلاً.  يبدو أن قطرات الماء حوله غاضبة، بينما تبدو قطرة الماء الصغيرة مختبئة خائفة.

قرف",23/05/2025 19:56
open_tap_page_10.png,غضب,خوف,خوف,"١. تعابير الوجه ولغة الجسد للشخصية المركزية تظهر القلق أو الخوف، حيث يبدو الطفل متوترًا ومحاطًا بقطرات الماء الغاضبة.

٢. الشعور الأساسي الظاهر هو الخوف.",خوف,خوف,خوف,"يظهر الطفل في الصورة وهو يضع يده على خده، وعيناه مفتوحتان على اتساعهما، وحاجباه مرفوعان قليلاً.  تبدو قطرات الماء غاضبة منه.

خوف",23/05/2025 19:57
sun_and_suns_page_4.png,مفاجأة,مفاجأة,مفاجأة,"١. يبدو أن خالد مستعجل وينظر من النافذة بترقب، مما يدل على شعور بالقلق أو المفاجأة بسبب الشمس التي تشرق.

٢. الشعور الأساسي الظاهر هو مفاجأة.",مفاجأة,خوف,مفاجأة,"الطفل يضع يده على فمه، و يبدو متفاجئاً من رحيل الشمس.",23/05/2025 19:58
sun_and_suns_page_5.png,حزن,حزن,حزن,"١. تعابير الوجه للشمس تظهر حزينة، حيث تبدو وكأنها تبكي. النص يشير إلى أن الشمس لم تعد تجذب الأطفال بسبب الستائر المسدلة.

٢. الشعور الأساسي الظاهر هو حزن.",حزن,حزن,حزن,تظهر الشمس عيونًا مغلقة نصف إغلاق وحاجبين متدليين وفمًا متجهًا للأسفل.  يبدو أنها تبكي.,23/05/2025 19:59
open_tap_page_11.png,خوف,خوف,خوف,"١( يظهر الولد في الصورة وهو يحاول إغلاق السدادة بجهد، وتبدو قطرات الماء غاضبة، مما يشير إلى توتر الموقف.

٢( الشعور الأساسي الظاهر هو خوف.",خوف,ثقة,ترقب,"يظهر الطفل وهو يرفع غطاءً ثقيلًا، ووجهه يعبر عن التركيز والجهد. قطرات الماء تبدو غاضبة، مما يشير إلى وجود صراع بين الطفل والماء.",23/05/2025 20:00
open_tap_page_15.png,حزن,محايد,حزن,"١. يظهر الطفل مستلقيًا على الغيمة بتعبير وجه هادئ، بينما تبدو القطرة حزينة أو قلقة. السياق يشير إلى أن الشمس أحرقت القطرة، مما جعلها تنضم إلى الغيمة.

٢. الشعور الأساسي الظاهر هو ""حزن"".",حزن,حزن,خوف,"يظهر الطفل مستلقيًا على سحابة مع تعبير قلق على وجهه، بينما تظهر قطرة الماء أسفله مع تعبير خائف.  يبدو أن الطفل قلق بشأن قطرة الماء التي تسقط.",23/05/2025 20:01
tomorrow_I_will_be_page_7.png,سعادة,سعادة,سعادة,"١. الشخصان يبتسمان ويجلسان معًا في السرير، يقرآن كتابًا، مما يدل على جو دافئ ومريح.
٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,يبتسم الطفلان ويقرآن كتابًا معًا في السرير.  يبدو أنهما يستمتعان بوقتهما معًا قبل النوم.,23/05/2025 20:03
open_tap_page_6.png,سعادة,سعادة,سعادة,"١. الطفل يبتسم ويبدو مستمتعًا في حوض الاستحمام، مما يدل على شعور إيجابي. وجود الألعاب مثل البطة يعزز من جو المرح.

٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,"يبتسم الطفل ابتسامة عريضة، وعيناه مفتوحتان على اتساعهما، ويرفع يده لتحية القارئ.  يبدو مستمتعًا باللعب في حوض الاستحمام.",23/05/2025 20:04
open_tap_page_7.png,سعادة,سعادة,سعادة,"١. الشخص في الصورة يبدو مبتسمًا ويمد ذراعيه في الماء، مما يدل على الاستمتاع والراحة. الماء يتدفق من الصنبور، مما يضيف إلى جو المرح.

٢. الشعور الأساسي الظاهر هو السعادة.",سعادة,سعادة,سعادة,"الطفل يبتسم ويفتح ذراعيه، ويبدو مستمتعًا بالماء المتدفق من الصنبور. الماء يفيض من الحوض، وقطرة الماء في الأسفل تبدو حزينة.",23/05/2025 20:06
open_tap_page_14.png,مفاجأة,مفاجأة,مفاجأة,"١. تعابير الوجه ولغة الجسد للشخصية الرئيسية تظهر القلق أو الحيرة، حيث ينظر إلى اللوحة بعينين واسعتين. قطرات الماء تبدو غاضبة أو مستاءة.

٢. الشعور الأساسي الظاهر هو ""مفاجأة"".",خوف,خوف,خوف,"يظهر الطفل بعيون متسعة وفم مفتوح قليلاً، مما يدل على الدهشة. قطرات الماء تبدو غاضبة وحزينة.

خوف",23/05/2025 20:07
open_tap_page_16.png,حزن,محايد,سعادة,"١. يظهر الشخص مبتسمًا وهو يمسك الخرطوم، مما يدل على شعور إيجابي. قطرات الماء تبدو حزينة.

٢. الشعور الأساسي الظاهر هو سعادة.",سعادة,سعادة,سعادة,"يبتسم الطفل ابتسامة عريضة، ويظهر خديه ورديين، وهو يمسك بخرطوم الماء. يبدو أنه يستمتع باللعب بالماء.",23/05/2025 20:08
